48372	57640	TAN	9269
188931	3213843	FUS	3724
188932	3217566	FUS	3724
269831	269832	INS	5
337656	430759	TAN	93104
443167	540206	INV	97039
443168	540207	INV	97039
632880	636802	INV	3922
632881	636803	INV	3922
737104	740543	TAN	3440
850380	854822	TAN	4443
936799	941804	DEL	5004
999036	1072682	TAN	73647
1159657	1159658	INS	28
1230029	1230030	INS	11
1339748	1416686	DEL	76937
1535266	1535267	INS	17
1554479	1555369	INV	890
1554480	1555370	INV	890
1737611	1737612	INS	19
1824789	1831340	TAN	6552
1894486	1957098	DEL	62611
2021198	2029818	TAN	8621
2159239	2159797	INV	558
2159240	2159798	INV	558
2264751	2272032	TAN	7282
2352541	2352663	DEL	121
2511665	2511666	INS	23
2630453	2631391	INV	938
2630454	2631392	INV	938
2744252	2744800	INV	548
2744253	2744801	INV	548
2757145	3469714	FUS	77318
2757146	3547031	FUS	77318
2963530	2963531	INS	16
3042226	3042999	DEL	772
3154923	3189049	TAN	34127
3199599	3247220	TAN	47622
3314723	3315678	TAN	956
3486270	3174764	FUS	198
3486271	3174961	FUS	198
3546488	3953340	FUS+	72790
3546489	4026129	FUS	72790
3670305	3670306	INS	11
3757423	3815141	DEL	57717
3953339	4026130	DEL	72790
4037945	4038543	DEL	597
4090867	4308284	FUS	45963
4090868	4354246	FUS	45963
4279849	4280004	INV	155
4279850	4280005	INV	155
4345123	4345887	INV	764
4345124	4345888	INV	764
4435693	4435694	INS	20
4512827	4512828	INS	16
