1043322	92316970	FUS	0
1043323	92322677	FUS	0
1955911	39934931	FUS	0
1955912	39940564	FUS	0
3526133	69391474	FUS	0
3526134	69489587	FUS	0
4798592	4798690	INV	0
4798593	4798691	INV	0
6626773	6630528	DEL	0
7999280	8000237	DEL	0
10047111	10050431	INV	0
10047112	10050432	INV	0
11447972	18595298	FUS	0
11447973	18629643	FUS	0
12049417	12049490	INV	0
12049418	12049491	INV	0
13863128	13863129	INS	0
15684184	116273828	FUS	0
15684185	116274494	FUS	0
17294974	17295033	INV	0
17294975	17295034	INV	0
19417933	19425968	DEL	0
20865265	20894349	INV	0
20865266	20894350	INV	0
21868801	21869555	DEL	0
23156794	23160697	TAN	0
25079167	25088603	INV	0
25079168	25088604	INV	0
26045149	65740262	FUS	0
26045150	65747452	FUS	0
27287423	56066449	FUS	0
27287424	56066817	FUS	0
28643189	28647422	DEL	0
30053712	1243782	FUS	0
30053713	1334500	FUS	0
31688888	31753867	INV	0
31688889	31753868	INV	0
33747360	33747421	TAN	0
34975417	9845246	FUS	0
34975418	9896031	FUS	0
37229886	37253269	TAN	0
38899231	38998768	DEL	0
39934930	39940565	DEL	0
41833328	41840740	TAN	0
43060319	62541151	FUS	0
43060320	62614380	FUS	0
43610761	43610858	INV	0
43610762	43610859	INV	0
45080874	45117441	INV	0
45080875	45117442	INV	0
47425388	47425389	INS	0
48474722	48475099	TAN	0
50104076	50104086	TAN	0
52006819	52006820	INS	0
53812434	128308315	FUS	0
53812435	128335787	FUS	0
54347295	118358804	FUS	0
54347296	118363945	FUS	0
56066448	56066818	DEL	0
57565970	57566768	DEL	0
59046998	59100698	TAN	0
60432465	60432497	DEL	0
62541150	62614381	DEL	0
64224845	64293063	INV	0
64224846	64293064	INV	0
64879193	97387807	FUS	0
64879194	97387885	FUS	0
66663220	66663316	INV	0
66663221	66663317	INV	0
68791430	35290083	FUS	0
68791431	35340959	FUS	0
69391473	69489588	DEL	0
71470190	71470204	TAN	0
72902110	72902122	INV	0
72902111	72902123	INV	0
74722093	83875717	FUS	0
74722094	83875742	FUS	0
75557592	129215145	FUS	0
75557593	129215203	FUS	0
77323682	77323715	INV	0
77323683	77323716	INV	0
79370509	120019398	FUS	0
79370510	120019429	FUS	0
79705610	79708063	INV	0
79705611	79708064	INV	0
81768226	81803859	DEL	0
83875716	83875743	DEL	0
84895545	84977448	INV	0
84895546	84977449	INV	0
85940808	85949328	TAN	0
87121910	87122867	TAN	0
89622007	89629493	INV	0
89622008	89629494	INV	0
91168617	39572528	FUS	0
91168618	39575360	FUS	0
91912417	108054530	FUS	0
91912418	108056853	FUS	0
93257583	93261913	INV	0
93257584	93261914	INV	0
94855952	94856788	DEL	0
97387806	97387886	DEL	0
97692198	97693001	TAN	0
99196059	99196083	INV	0
99196060	99196084	INV	0
100627104	124289924	FUS	0
100627105	124290653	FUS	0
102631169	48562317	FUS	0
102631170	48562585	FUS	0
103570428	103570738	DEL	0
106230691	106231018	TAN	0
106617915	124047985	FUS	0
106617916	124101054	FUS	0
108054529	108056854	DEL	0
110507666	102605591	FUS	0
110507667	102652077	FUS	0
111601563	111608787	DEL	0
113759817	113786143	INV	0
113759818	113786144	INV	0
115171018	115171945	INV	0
115171019	115171946	INV	0
115565457	115565517	TAN	0
117933813	117940225	TAN	0
119321445	119329215	TAN	0
120019397	120019430	DEL	0
122982293	90806844	FUS	0
122982294	90811400	FUS	0
124289923	124290654	DEL	0
125472537	125472564	INV	0
125472538	125472565	INV	0
127273311	127273842	DEL	0
127878885	127887849	TAN	0
129215144	129215204	DEL	0
131401463	131401499	TAN	0
133116692	133123740	DEL	0
