@relation 'sv'
@attribute num_lines real
@attribute l0_c1_loci_compare real
@attribute l0_c1_realign_dir real
@attribute l0_c1_anchor_dir real
@attribute l0_C1_long_support real
@attribute l0_C1_long_support_bases real
@attribute l0_C1_short_support real
@attribute l0_C1_short_support_bases real
@attribute l0_C1_short_support_max_len real
@attribute l0_C1_avg_realign_mapq real
@attribute l0_c2_loci_com real
@attribute l0_c2_realign_dir real
@attribute l0_c2_anchor_dir real
@attribute l0_C2_long_support real
@attribute l0_C2_long_support_bases real
@attribute l0_C2_short_support real
@attribute l0_C2_short_support_bases real
@attribute l0_C2_short_support_max_len real
@attribute l0_C2_avg_realign_mapq real
@attribute l1_c1_loci_compare real
@attribute l1_c1_realign_dir real
@attribute l1_c1_anchor_dir real
@attribute l1_C1_long_support real
@attribute l1_C1_long_support_bases real
@attribute l1_C1_short_support real
@attribute l1_C1_short_support_bases real
@attribute l1_C1_short_support_max_len real
@attribute l1_C1_avg_realign_mapq real
@attribute l1_c2_loci_com real
@attribute l1_c2_realign_dir real
@attribute l1_c2_anchor_dir real
@attribute l1_C2_long_support real
@attribute l1_C2_long_support_bases real
@attribute l1_C2_short_support real
@attribute l1_C2_short_support_bases real
@attribute l1_C2_short_support_max_len real
@attribute l1_C2_avg_realign_mapq real
@attribute l2_c1_loci_compare real
@attribute l2_c1_realign_dir real
@attribute l2_c1_anchor_dir real
@attribute l2_C1_long_support real
@attribute l2_C1_long_support_bases real
@attribute l2_C1_short_support real
@attribute l2_C1_short_support_bases real
@attribute l2_C1_short_support_max_len real
@attribute l2_C1_avg_realign_mapq real
@attribute l2_c2_loci_com real
@attribute l2_c2_realign_dir real
@attribute l2_c2_anchor_dir real
@attribute l2_C2_long_support real
@attribute l2_C2_long_support_bases real
@attribute l2_C2_short_support real
@attribute l2_C2_short_support_bases real
@attribute l2_C2_short_support_max_len real
@attribute l2_C2_avg_realign_mapq real
@attribute svtype {INV,INS,DEL,FUS,TAN,TRAN,WOFS}
@data
2,1,1,0,9,389,9,108,23,40.444443,0,0,1,14,738,9,108,19,36.57143,1,0,1,14,614,13,127,22,44.0,0,1,0,12,587,6,91,23,44.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,FUS
2,1,0,1,9,459,9,108,24,35.88889,0,1,0,14,691,12,142,22,44.0,1,1,0,13,675,8,136,24,36.153847,0,0,1,9,470,11,132,22,44.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,FUS
3,1,1,0,11,451,14,152,21,43.636364,0,0,1,12,598,8,69,20,44.0,1,0,1,7,397,10,109,21,44.0,0,1,0,10,541,13,132,17,44.0,1,1,0,12,636,11,104,19,44.0,0,0,1,14,725,8,80,18,44.0,TRAN
3,1,1,0,10,499,5,40,15,43.1,0,0,1,14,761,20,218,24,36.642857,1,0,1,6,315,17,227,24,44.0,0,1,0,5,164,7,114,24,44.0,1,1,0,18,831,11,163,22,35.333332,0,0,1,14,672,16,195,24,44.0,TRAN
1,1,1,0,5,333,9,119,23,44.0,0,0,1,14,621,7,60,17,43.142857,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DEL
1,1,1,0,5,330,9,131,21,37.0,0,0,1,10,459,7,47,13,27.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DEL
2,1,1,1,6,386,7,94,20,39.166668,0,1,1,13,681,9,121,22,40.0,1,0,0,11,598,14,140,19,44.0,0,0,0,12,600,15,137,22,44.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,INV
2,1,1,0,8,427,10,113,22,26.0,0,0,1,13,656,8,101,23,44.0,0,1,0,10,497,9,120,24,44.0,1,0,1,0,0,12,159,20,43.666668,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,FUS
1,1,0,0,23,1138,8,91,24,44.0,0,0,0,0,0,10,146,22,44.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,INV
2,0,1,0,12,535,15,191,23,44.0,1,0,1,9,483,6,90,22,36.0,0,0,1,15,788,5,44,18,42.066666,1,1,0,9,494,9,76,21,42.77778,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,FUS
